WiiAccX,WiiAccY,WiiAccZ,,,,CogX,CogY,,,cursorX,cursorY
-0.458333343,-0.25,0.75,0,0,0,-1.435644984,-2.342216492,0,0,366,163
-0.458333343,-0.25,0.75,0,0,0,-1.423095465,-2.335302353,0,0,370,162
-0.416666657,-0.25,0.833333313,0,0,0,-1.399972081,-2.342402935,0,0,377,161
-0.5,-0.25,0.916666687,0,0,0,-1.408227205,-2.391906261,0,0,385,159
-0.541666687,-0.25,0.875,0,0,0,-1.408227205,-2.391906261,0,0,389,159
-0.541666687,-0.25,0.833333313,0,0,0,-1.426696539,-2.409199476,0,0,392,158
-0.541666687,-0.25,0.791666687,0,0,0,-1.438426852,-2.387236595,0,0,403,156
-0.458333343,-0.25,0.833333313,0,0,0,-1.438426852,-2.387236595,0,0,412,155
-0.5,-0.25,0.916666687,0,0,0,-1.468770981,-2.385650635,0,0,416,153
-0.5,-0.25,0.958333313,0,0,0,-1.468770981,-2.385650635,0,0,425,151
-0.541666687,-0.25,0.958333313,0,0,0,-1.482969284,-2.406808615,0,0,430,149
-0.541666687,-0.25,0.916666687,0,0,0,-1.478417635,-2.422586679,0,0,440,147
-0.541666687,-0.25,0.833333313,0,0,0,-1.581409097,-2.40503931,0,0,450,145
-0.5,-0.25,0.833333313,0,0,0,-1.581409097,-2.40503931,0,0,455,144
-0.5,-0.25,0.833333313,0,0,0,-1.540229678,-2.386957645,0,0,459,143
-0.5,-0.25,0.833333313,0,0,0,-1.576947093,-2.382303238,0,0,465,141
-0.541666687,-0.25,0.875,0,0,0,-1.626003146,-2.392818213,0,0,468,141
-0.541666687,-0.25,0.916666687,0,0,0,-1.621988058,-2.378389835,0,0,470,140
-0.541666687,-0.25,0.916666687,0,0,0,-1.621988058,-2.378389835,0,0,470,140
-0.541666687,-0.208333328,0.916666687,0,0,0,-1.621988058,-2.378389835,0,0,471,139
-0.541666687,-0.25,0.875,0,0,0,-1.694971561,-2.4345541,0,0,471,139
-0.541666687,-0.25,0.791666687,0,0,0,-1.694971561,-2.4345541,0,0,471,139
-0.541666687,-0.25,0.75,0,0,0,-1.662360907,-2.451994419,0,0,472,139
-0.541666687,-0.25,0.791666687,0,0,0,-1.650547981,-2.451212168,0,0,472,139
-0.541666687,-0.25,0.833333313,0,0,0,-1.692292929,-2.45865798,0,0,473,139
-0.541666687,-0.208333328,0.875,0,0,0,-1.692292929,-2.45865798,0,0,476,138
-0.5,-0.208333328,0.916666687,0,0,0,-1.742771029,-2.469164133,0,0,482,137
-0.5,-0.166666672,0.958333313,0,0,0,-1.742771029,-2.469164133,0,0,485,137
-0.5,-0.208333328,0.958333313,0,0,0,-1.743661642,-2.517538309,0,0,492,137
-0.5,-0.208333328,0.958333313,0,0,0,-1.743661642,-2.517538309,0,0,495,137
-0.5,-0.208333328,0.833333313,0,0,0,-1.784490585,-2.496168852,0,0,501,136
-0.5,-0.208333328,0.833333313,0,0,0,-1.784490585,-2.496168852,0,0,508,135
-0.5,-0.208333328,0.958333313,0,0,0,-1.771129608,-2.500016451,0,0,510,135
-0.5,-0.208333328,1,0,0,0,-1.837815762,-2.507570744,0,0,512,134
-0.5,-0.208333328,1,0,0,0,-1.837815762,-2.507570744,0,0,516,133
-0.5,-0.208333328,0.958333313,0,0,0,-1.872121811,-2.574125767,0,0,516,133
-0.5,-0.208333328,0.916666687,0,0,0,-1.866275549,-2.552283525,0,0,517,133
-0.5,-0.208333328,0.833333313,0,0,0,-1.892700672,-2.495936632,0,0,519,133
-0.375,-0.166666672,0.875,0,0,0,-1.934356689,-2.494415283,0,0,523,132
-0.333333343,-0.166666672,0.916666687,0,0,0,-1.966108799,-2.486497402,0,0,526,132
-0.291666657,-0.166666672,0.958333313,0,0,0,-1.966108799,-2.486497402,0,0,528,132
-0.333333343,-0.166666672,1.041666627,0,0,0,-2.011620522,-2.456938744,0,0,533,132
-0.458333343,-0.208333328,1,0,0,0,-2.082130671,-2.452027082,0,0,536,132
-0.458333343,-0.25,0.958333313,0,0,0,-2.08799839,-2.470356941,0,0,538,131
-0.458333343,-0.25,0.875,0,0,0,-2.08799839,-2.470356941,0,0,538,131
-0.458333343,-0.25,0.875,0,0,0,-2.106292963,-2.468534231,0,0,538,131
-0.416666657,-0.208333328,0.916666687,0,0,0,-2.078875542,-2.44659996,0,0,539,131
-0.416666657,-0.208333328,0.916666687,0,0,0,-2.185917616,-2.439294815,0,0,540,131
-0.458333343,-0.208333328,0.916666687,0,0,0,-2.185917616,-2.439294815,0,0,542,131
-0.416666657,-0.208333328,0.916666687,0,0,0,-2.175525665,-2.419551849,0,0,544,131
-0.375,-0.166666672,0.875,0,0,0,-2.206119299,-2.40118742,0,0,546,131
-0.375,-0.166666672,0.875,0,0,0,-2.192993164,-2.374585629,0,0,550,131
-0.375,-0.208333328,0.875,0,0,0,-2.119157791,-2.339933157,0,0,553,130
-0.416666657,-0.208333328,0.916666687,0,0,0,-2.119157791,-2.339933157,0,0,554,130
-0.458333343,-0.208333328,0.916666687,0,0,0,-2.199313402,-2.355647326,0,0,559,130
-0.5,-0.25,0.916666687,0,0,0,-2.22787571,-2.373009205,0,0,563,130
-0.5,-0.208333328,0.875,0,0,0,-2.226380587,-2.363118649,0,0,565,130
-0.416666657,-0.208333328,0.875,0,0,0,-2.226380587,-2.363118649,0,0,569,130
-0.375,-0.166666672,0.875,0,0,0,-2.233837128,-2.346315384,0,0,571,130
-0.333333343,-0.166666672,0.958333313,0,0,0,-2.212257624,-2.299465895,0,0,574,130
-0.416666657,-0.166666672,0.958333313,0,0,0,-2.196377754,-2.276228189,0,0,579,130
-0.458333343,-0.208333328,0.958333313,0,0,0,-2.196377754,-2.276228189,0,0,582,130
-0.458333343,-0.208333328,0.916666687,0,0,0,-2.196103573,-2.240171432,0,0,586,130
-0.458333343,-0.25,0.875,0,0,0,-2.209189415,-2.239016294,0,0,593,130
-0.416666657,-0.208333328,0.875,0,0,0,-2.256511927,-2.209270239,0,0,596,130
-0.416666657,-0.208333328,0.958333313,0,0,0,-2.248428106,-2.199040413,0,0,599,130
-0.416666657,-0.208333328,1,0,0,0,-2.281093121,-2.17670536,0,0,600,130
-0.458333343,-0.208333328,0.958333313,0,0,0,-2.281093121,-2.17670536,0,0,602,129
-0.5,-0.208333328,0.916666687,0,0,0,-2.282151222,-2.135561466,0,0,603,129
-0.458333343,-0.208333328,0.875,0,0,0,-2.327328205,-2.131448746,0,0,610,128
-0.458333343,-0.208333328,0.875,0,0,0,-2.353912115,-2.126425266,0,0,617,126
-0.458333343,-0.208333328,0.875,0,0,0,-2.331362963,-2.157409191,0,0,626,124
-0.5,-0.208333328,0.875,0,0,0,-2.300641298,-2.119294643,0,0,632,123
-0.541666687,-0.208333328,0.875,0,0,0,-2.279177666,-2.135457516,0,0,635,123
-0.5,-0.208333328,0.875,0,0,0,-2.245891094,-2.150725365,0,0,636,123
-0.458333343,-0.208333328,0.875,0,0,0,-2.275407553,-2.151026726,0,0,637,123
-0.458333343,-0.208333328,0.875,0,0,0,-2.256296396,-2.145382404,0,0,638,122
-0.458333343,-0.166666672,0.916666687,0,0,0,-2.288850546,-2.144403696,0,0,641,122
-0.458333343,-0.166666672,0.916666687,0,0,0,-2.231215715,-2.126359463,0,0,645,121
